Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription/translation regulatory transformer protein RfaH [Shigella flexneri],Shigella flexneri,99.4,99.4,100%,2e-25,100.00,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFP9282898.1?report=genbank&log$=prottop&blast_rank=1&RID=1W6HPFAE013"",""EFP9282898.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,2e-25,100.00,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDM9318031.1?report=genbank&log$=prottop&blast_rank=2&RID=1W6HPFAE013"",""MDM9318031.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,2e-25,100.00,67,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCG2942406.1?report=genbank&log$=prottop&blast_rank=3&RID=1W6HPFAE013"",""MCG2942406.1"")"
transcription/translation regulatory transformer protein RfaH [Vibrio parahaemolyticus],Vibrio parahaemolyticus,99.0,99.0,100%,2e-25,100.00,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDG2914178.1?report=genbank&log$=prottop&blast_rank=4&RID=1W6HPFAE013"",""MDG2914178.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,2e-25,100.00,66,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDH4998630.1?report=genbank&log$=prottop&blast_rank=5&RID=1W6HPFAE013"",""MDH4998630.1"")"
"MAG: Transcriptional activator rfaH, partial [Escherichia coli DORA_A_5_14_21]",Escherichia coli DORA_A_5_14_21,99.4,99.4,100%,2e-25,100.00,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ETJ27821.1?report=genbank&log$=prottop&blast_rank=6&RID=1W6HPFAE013"",""ETJ27821.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter sp. PR-089-C-ECC],Enterobacter sp. PR-089-C-ECC,99.0,99.0,100%,2e-25,100.00,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFT2883667.1?report=genbank&log$=prottop&blast_rank=7&RID=1W6HPFAE013"",""MFT2883667.1"")"
hypothetical protein EIMP300_07150 [Escherichia coli],Escherichia coli,98.6,98.6,100%,2e-25,100.00,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BBU79315.1?report=genbank&log$=prottop&blast_rank=8&RID=1W6HPFAE013"",""BBU79315.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia sp. S69_ASV_4],Escherichia sp. S69_ASV_4,99.0,99.0,100%,2e-25,100.00,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU5561750.1?report=genbank&log$=prottop&blast_rank=9&RID=1W6HPFAE013"",""MBU5561750.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,2e-25,100.00,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_139931933.1?report=genbank&log$=prottop&blast_rank=10&RID=1W6HPFAE013"",""WP_139931933.1"")"
